id,subject,description
308,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. Não consigo trabalhar, preciso de solução imediata."
309,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. Sem pressa, quando puderem."
310,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. Não consigo trabalhar, preciso de solução imediata."
311,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. É só uma dúvida, pode responder com calma."
312,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Sem pressa, quando puderem."
313,Atualização de cadastro,Preciso atualizar o endereço e o telefone da minha conta.
314,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Sem pressa, quando puderem."
315,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
316,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. É só uma dúvida, pode responder com calma."
317,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. É importante, preciso resolver rápido."
318,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
319,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Aguardo com prioridade, por favor."
320,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. É só uma dúvida, pode responder com calma."
321,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona.
322,Exportação em Excel,"Gostaria que tivesse a opção de exportar em Excel além de PDF. Sem pressa, quando puderem."
323,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Aguardo com prioridade, por favor."
324,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Estou bloqueado por causa disso."
325,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
326,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
327,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona.
328,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? Apenas uma sugestão, sem urgência."
329,Contato do comercial,"Poderiam me passar o contato da equipe comercial? É importante, preciso resolver rápido."
330,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso?"
331,Integração com Slack,Poderiam adicionar integração com o Slack para avisos?
332,Como convidar usuário,Como posso convidar outro usuário para a minha conta? Estou bloqueado por causa disso.
333,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Aguardo com prioridade, por favor."
334,Configurar notificações,"Onde configuro para receber notificações por e-mail? É só uma dúvida, pode responder com calma."
335,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada."
336,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Não consigo trabalhar, preciso de solução imediata."
337,Integração com Slack,Poderiam adicionar integração com o Slack para avisos?
338,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
339,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Crítico, resolvam o quanto antes!"
340,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. Crítico, resolvam o quanto antes!"
341,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Sem pressa, quando puderem."
342,Dúvida sobre integração,Como funciona a integração com o meu sistema atual?
343,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
344,App trava ao abrir,O aplicativo trava e fecha sozinho toda vez que tento abrir.
345,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? É só uma dúvida, pode responder com calma."
346,Como convidar usuário,Como posso convidar outro usuário para a minha conta?
347,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Crítico, resolvam o quanto antes!"
348,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? É só uma dúvida, pode responder com calma."
349,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha."
350,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. É importante, preciso resolver rápido."
351,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? É importante, preciso resolver rápido."
352,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Estou bloqueado por causa disso."
353,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Apenas uma sugestão, sem urgência."
354,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Aguardo com prioridade, por favor."
355,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. Sem pressa, quando puderem."
356,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. Apenas uma sugestão, sem urgência."
357,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Está tudo parado em produção, urgente!"
358,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante."
359,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Está tudo parado em produção, urgente!"
360,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? É só uma dúvida, pode responder com calma."
361,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. É importante, preciso resolver rápido."
362,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Sem pressa, quando puderem."
363,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. Aguardo com prioridade, por favor."
364,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. Não consigo trabalhar, preciso de solução imediata."
365,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
366,Solicito aumento de limite,Solicito o aumento do limite de usuários da minha conta.
367,Novo relatório,Poderia adicionar um relatório de produtividade por equipe?
368,Novo relatório,Poderia adicionar um relatório de produtividade por equipe?
369,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
370,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. É só uma dúvida, pode responder com calma."
371,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
372,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. É só uma dúvida, pode responder com calma."
373,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Não consigo trabalhar, preciso de solução imediata."
374,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona.
375,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. Apenas uma sugestão, sem urgência."
376,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve."
377,Erro na fatura,O valor da fatura está diferente do combinado no plano. Estou bloqueado por causa disso.
378,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. É só uma dúvida, pode responder com calma."
379,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Sem pressa, quando puderem."
380,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
381,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão. Estou bloqueado por causa disso.
382,Dúvida sobre integração,Como funciona a integração com o meu sistema atual?
383,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Está tudo parado em produção, urgente!"
384,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Aguardo com prioridade, por favor."
385,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Aguardo com prioridade, por favor."
386,Personalizar dashboard,"Solicito a possibilidade de personalizar os cards do dashboard. Aguardo com prioridade, por favor."
387,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Crítico, resolvam o quanto antes!"
388,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo? Apenas uma sugestão, sem urgência."
389,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente."
390,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado."
391,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Não consigo trabalhar, preciso de solução imediata."
392,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Estou bloqueado por causa disso."
393,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Estou bloqueado por causa disso."
394,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Apenas uma sugestão, sem urgência."
395,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada."
396,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Sem pressa, quando puderem."
397,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
398,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
399,Como filtrar dados,Tem como filtrar os registros por data? Onde encontro isso?
400,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? É importante, preciso resolver rápido."
