id,subject,description
272,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. É importante, preciso resolver rápido."
273,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. Aguardo com prioridade, por favor."
274,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Não consigo trabalhar, preciso de solução imediata."
275,Exportação em Excel,"Gostaria que itvesse a opcao de exportar em Excel alem de PDF. É importante, preciso resolver rápido."
276,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Além disso, aparece uma falha quando clico em salvar e o botão não funciona."
277,Informação sobre evento,Vocês vão participar de algum evento este ano?
278,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. É importante, preciso resolver rápido."
279,Configurar notificações,Onde configuro para receber notificacões por e-mail?
280,,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Estou bloqueado por causa disso.
281,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? É importante, preciso resolver rápido."
282,Informação sobre evento,Vocês vão participar de algum evento este ano?
283,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Crítico, resolvam o quanto antes!"
284,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? É só uma dúvida, pode responder com calma."
285,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguem resolve nada. Aguardo com prioridade, por favor."
286,Contato do comercial,"Poderiam me passar o contato da equipe comercial? É importante, preciso resolver rápido."
287,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Sem pressa, quando puderem."
288,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Não consigo trabalhar, preciso de solução imediata. Além disso, como posso convidar outro usuário para a minha conta?"
289,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Crítico, resolvam o quanto antes!"
290,Integração com Slack,"Poderiam adicionar integracao com o Slack para avisos? Aguardo com prioridade, por favor."
291,Configurar notificações,"Onde configuro para receber notificações por e-mail? Sem pressa, quando puderem."
292,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Está tudo parado em produção, urgente! Além disso, o sistema está horrível de lento, muito decepcionado."
293,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
294,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Estou bloqueado por causa disso."
295,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Crítico, resolvam o quanto antes!"
296,,COMO FUNCIONA A INTEGRAÇÃO COM O MEU SISTEMA ATUAL?
297,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Não consigo trabalhar, preciso de solução imediata."
298,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado."
299,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard. Estou bloqueado por causa disso.
300,Como filtrar dados,Tem como filtrar os registros por data? Onde encontro isso?
301,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Crítico, resolvam o quanto antes!"
302,Não carrega os dados,"A listagem nao carrega,d á erro 500 e some tudo."
303,Integração com Slack,Poderiam adicionar integração com o Slack para avisos? Estou bloqueado por causa disso.
304,App trava ao abrir,O aplicativo trava e fecha sozinho toda vez que tento abrir. Estou bloqueado por causa disso.
305,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
306,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. É importante, preciso resolver rápido."
307,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo."
308,Como exportar relatório,Como faço para exportar o relatório mensal em PDF? Onde fica essa opção?
309,Reembolso pendente,Pedi o reembolso semana passada e ainda nao caiu no cartao.
310,Configurar notificações,"Onde configuro para receber notificações por e-mail? É só uma dúvida, pode responder com calma."
311,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
312,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Apenas uma sugestão, sem urgência."
313,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona. Estou bloqueado por causa disso.
314,Configurar notificações,"Onde configuro para receber notificações por e-mail? Aguardo com prioridade, por favor."
315,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
316,Integração com Slack,Poderiam adicionar integração com o Slack para avisos? Estou bloqueado por causa disso.
317,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Aguardo com prioridade, por favor."
318,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. Sem pressa, quando puderem."
319,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Apenas uma sugestão, sem urgência."
320,Solicito aumento de limite,Solicito o aumento do limite de usuários da minha conta.
321,Como convidar usuário,Como posso convidar outro usuário para a minha conta?
322,Configurar notificações,"Onde configuro para receber notificações por e-mail? É só uma dúvida, pode responder com calma."
323,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Sem pressa, quando puderem."
324,Configurar notificações,"Onde configuro para receber notificações por e-mail? Sem pressa, quando puderem. Além disso, como funciona a integração com o meu sistema atual?"
325,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. Crítico, resolvam o quanto antes! Além disso, o envio de arquivo falha sempre com mensagem de erro."
326,,"TEMOS INTERESSE EM UMA PARCERIA COMERCIAL, COM QUEM FALO?"
327,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. Sem pressa, quando puderem."
328,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha."
329,Como exportar relatório,"Como faco para exportar o relatório mensal em PDF? Onde fica essa opcao? Apenas uma sugestao, sem urgência."
330,App trava ao abrir,O aplicativo trava e fecha sozinho toda vez que tento abrir.
331,Dúvida sobre plano,"Qual a diferença entre os planos? Posos trocar quando quiser? Crítico, resolvam o quanto antes!"
332,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Apenas uma sugestão, sem urgência."
333,Reclamação formal,"Regisrto uma reclamação: o serviço não entrega o que promete. Além disso, gostaria que o sistema permitisse adicionar tags nos tickets."
334,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Crítico,r esolvam o quanto antes!"
335,Sugestão de recurso,Gostaria que o sistema permitisse adicionar tags nos tickets.
336,Configurar notificações,"Onde configuro para receber notificações por e-mail? Sem pressa, quando puderem."
337,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha."
338,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Sem pressa, quando puderem."
339,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Apenas uma sugestão, sem urgência. Além disso, o valor da fatura está diferente do combinado no plano."
340,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? Não consigo trabalhar, preciso de solução imediata."
341,,"O valor da fatura está diferente do combinado no plano. Crítico, resolvam o quanto antes!"
342,Contato do comercial,"Poderiam me passar o contato da equipe comercial? Crítico, resolvam o quanto antes! Além disso, o valor da fatura está diferente do combinado no plano."
343,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo? Sem pressa, quando puderem."
344,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
345,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. Está tudo parado em producao, urgente!"
346,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Estou bloqueado por causa disso. Além disso, gostaria de acesso a uma API para integrar com nosso sistema."
347,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso?"
348,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Crítico, resolvam o quanto antes!"
349,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Apenas uma sugestão, sem urgência."
350,Cobrança após cancelamento,Cancelei mês passado mas continuo sendo cobrado na fatura.
351,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. É só uma dúvida, pode responder com calma. Alem disso, poderia adicionar um relatório de produtividade por equipe?"
352,Exportação em Excel,Gostaria que tivesse a opção de exportar em Excel além de PDF.
353,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Apenas uma sugestão, sem urgência."
354,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Crítico, resolvam o quanto antes!"
355,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. É só uma dúvida, pode responder com calma."
356,Upload falhando,O envio de arquivo falha sempre com mensagem de erro. Estou bloqueado por causa disso.
357,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? Não consigo trabalhar, preciso de solução imediata."
358,Insatisfeito com cobrança,"Estou decepcionado, cobranca errada e ninguem resolve. Estou bloqueadop or causa disso."
359,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona.
360,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso."
361,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso."
362,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Alem disso, só queria deixar um elogio, o produto tem me ajudado bastante."
363,,REGISTRO UMA RECLAMAÇÃO: O SERVIÇO NÃO ENTREGA O QUE PROMETE.
364,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. É importante, preciso resolver rápido. Além disso, gostaria que tivesse a opção de exportar em Excel além de PDF."
365,,"REGISTRO UMA RECLAMAÇÃO: O SERVIÇO NÃO ENTREGA O QUE PROMETE. NÃO CONSIGO TRABALHAR, PRECISO DE SOLUÇÃO IMEDIATA."
366,Pedido de nova feature,Poderia adicionar um modo escuro? Seria um recurso muito útil.
367,,"SÓ QUERIA DEIXAR UM ELOGIO, O PRODUTO TEM ME AJUDADO BASTANTE."
368,Cobrança após cancelamento,Cancelei mês passado mas continuo sendo cobrado na fatura.
369,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Além disso, gostaria de saber onde altero minha senha de acesso."
370,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. É só uma dúvida, pode responder com calma."
371,Exportação em Excel,Gostaria que tivesse a opção de exportar em Excel além de PDF. Estou bloqueado por causa disso.
372,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha."
373,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
374,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
375,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
376,Cobrança após cancelamento,Cancelei mês passado mas continuo sendo cobrado na fatura.
377,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
378,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
379,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. Estou bloqueado por causa disso. Além disso, preciso transferir a titularidade da conta para outra pessoa."
380,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Aguardo com prioridade, por favor."
381,Informação sobre evento,"Vocês vão participar de algum evento este ano? Apenas uma sugestão, sem urgência."
382,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Estou bloqueado por causa disso."
383,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
384,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. É importante, preciso resolver rápido."
385,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir .Apenas uma sugestão, sem urgência."
386,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. Não consigo trabalhar, preciso de solução imediata."
387,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Apenas uma sugestão, sem urgência."
388,Contato do comercial,"Poderiam me passar o contato da equipe comercial? Crítico, resolvam o quanto antes! lAem disso, perdi dados por causa de um erro de vocês, inadmissível."
389,Configurar notificações,"Onde configuro para receber notificações por e-mail? Aguardo com prioridade, por favor."
390,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada. Não consigo trabalhar, preciso de solução imediata."
391,Erro na fatura,O valor da fatura está diferente do combinado no plano.
392,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Aguardo com prioridade, por favor."
393,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. É só uma dúvida, pode responder com calma."
394,App trava ao abrir,O aplicativo trava e fecha sozinho toda vez que tento abrir.
395,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha."
396,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
397,,O ENIVO DE ARQUIVO FALHA SEMPRE COM MENSAGEM DE ERRO.
398,Erro na fatura,O valor da fatura está diferente do combinado no plano.
399,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Crítico, resolvam o quanto antes! Além disso, aparece uma falha quando clico em salvar e o botão não funciona."
400,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Aguardo com prioridade, por favor. Além disso, temos interesse em uma parceria comercial, com quem falo?"
401,,"TEM COMO FILTRAR OS REGISTROS POR DATA? ONDE ENCONTRO ISSO? AGUARDO COM PRIORIDADE, POR FAVOR."
402,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Além disso, preciso transferir a titularidade da conta para outra pessoa."
403,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Apenas uma sugestão, sem urgência. Além disso, o aplicativo trava e fecha sozinho toda vez que tento abrir."
404,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Aguardo com prioridade, por favor."
405,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. É importante, preciso resolver rápido."
406,App trava ao abrir,O aplicativo trava e fecha sozinho toda vez que tento abrir.
407,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. É importante, preciso resolver rápido."
408,,"COMO POSSO CONVIDAR OUTRO USUÁRIO PARA A MINHA CONTA? CRÍTICO, RESOLVAM O QUANTO ANTES!"
409,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. É só uma dúvida, pode responder com calma."
410,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. É importante, preciso resolver rápido."
411,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Crítico, resolvam o quanto antes!"
412,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Sem pressa, quando puderem. Além disso, o sistema está horrível de lento, muito decepcionado."
413,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Alem disso, preciso transferir a titularidade da conta para uotra pessoa."
414,API pública,Gostaria de acesso a uma API para integrar com nosso sistema.
415,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. É importante, preciso resolver rápido."
416,,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Apenas uma sugestão, sem urgência."
417,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo."
418,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Sem pressa, quando puderem."
419,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente."
420,Upload falhando,O envio de arquivo falha sempre com mensagem de erro. Estou bloqueado por causa disso.
421,Como filtrar dados,Tem como filtrar os registros pord ata? Onde encontro isso?
422,Integração com Slack,Poderiam adicionar integração com o Slack para avisos?
423,Login com falha,"Nao consigo logar, dá erro e a página recarrega sozinha. Aguardo com prioridade, por favor."
424,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Estou bloqueado por causa disso."
425,,"PEDI O REEMBOLSO SEMANA PASSADA E AINDA NÃO CAIU NO CARTÃO. SEM PRESSA, QUANDO PUDEREM."
426,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Aguardo com prioridade, por favor."
427,Novo relatório,Poderia adicionar um relatório de produtividade por equipe?
428,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Está tudo parado em produção, urgente! Além disso, cansei dos problemas, quero cancelar minha assinatura imediatamente."
429,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. É importante, preciso resolver rápido."
430,Mudança de titularidade,"Preciso transferir a titularidade da conta para outra pessoa. Crítico, resolvam o quanto antes!"
431,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. É só uma dúvida, pode responder com calma."
432,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente."
433,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Estou bloqueado por causa disso. Além disso, a listagem não carrega, dá erro 500 e some tudo."
434,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
435,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Crítico, resolvam o quanto antes! Além disso, estou muito insatisfeito com o suporte, ninguém resolve nada."
436,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. É só uma dúvida, pode responder com calma."
437,Nota fiscal,Preciso da nota fiscal do pagamento para o financeiro da empresa.
438,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. É só uam dúvida, pode responder com calma."
439,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? Crítico, resolvam o quanto antes!"
440,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. É importante, preciso resolver rápido."
441,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? Apenas uma sugestão, sem urgência."
442,Cancelar assinatura e reembolso,Quero cancelar e receber o reembolso proporcional da assinatura.
443,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Aguardo com prioridade, por favor."
444,Dúvida sobre integração,Como funciona  aintegração com o meu sistema atual?
445,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Crítico, resolvam o quanto antes!"
446,,"FUI COBRADO DUAS VEZES NA FATURA DESTE MÊS NO CARTÃO. SOLICITO O REEMBOLSO. AGUARDO COM PRIORIDADE, POR FAVOR."
447,,"O boleto da assinatura nao chegou, preciso pagar o pagamento. Estou bloqueado por causa disso."
448,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
449,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve. Sem pressa, quando puderem."
450,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Crítico, resolvam o quanto antes!"
451,,"FUI COBRADO DUAS VEZES NA FATURA DESTE MÊS NO CARTÃO. SOLICITO O REEMBOLSO. AGUARDO COM PRIORIDADE, POR FAVOR."
452,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Sem pressa, quando puderem."
453,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Apenas uma sugestão, sem urgência."
454,Configurar notificações,"Onde configuro para receber notificações por e-mail? É importante, preciso resolver rápido."
455,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Sem pressa, quando puderem."
456,Onde altero a senha,Gostaria de saber onde altero minha senha de acesso.
457,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito."
458,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
459,,"FUI COBRADO DUAS VEZES NA FATURA DESTE MÊS NO CARTÃO. SOLICITO O REEMBOLSO. É SÓ UMA DÚVIDA, PODE RESPONDER COM CALMA."
460,Mudança de titularidade,Preciso transferir a titularidade da conta para outra pessoa.
461,Como exportar relatório,Como faço para exportar o relatório mensal em PDF? Onde fica essa opção?
462,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Está tudo parado em produção, urgente!"
463,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Aguardo com prioridade, por favor."
464,Erro na fatura,"O valor da fatura está diferente do combinado no plano. É importante, preciso rseolver rápido."
465,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Está tudo parado em produção, urgente!"
466,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso.
467,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeit.o Apenas uma sugestão, sem urgência."
468,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. É só uma dúvida, pode responder com calma."
469,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
470,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. É importante, preciso resolver rápido."
471,Configurar notificações,Onde configuro para receber notificações por e-mail? Estou bloqueado por causa disso.
472,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Aguardo com prioridade, por favor."
473,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? É importante, preciso resolver rápido."
474,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito."
475,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Sem pressa, quando puderem. Além disso, solicito o aumento do limite de usuários da minha conta."
476,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
477,,"CANCELEI MÊS PASSADO MAS CONTINUO SENDO COBRADO NA FATURA. ESTÁ TUDO PARADO EM PRODUÇÃO, URGENTE!"
478,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. É só uma dúvida, pode responder com calma."
479,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Estou bloqueado por causa disso. Além disso, poderiam me passar o contato da equipe comercial?"
480,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Aguardo com prioridade, por favor."
481,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Estou bloqueado por causa disso."
482,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. Apenas uma sugestão, sem urgência."
483,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Estou bloqueado por causa disso."
484,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Estou bloqueado por causa disso."
485,Novo relatório,"Poderia adciionar um relatório de produtividade por equipe? Sem pressa, quando puderem."
486,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Está tudo parado em produção, urgente!"
487,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Sem pressa, quando puderem. Além disso, cansei dos problemas, quero cancelar minha assinatura imediatamente."
488,Configurar notificações,"Onde configuro para receber notificacões por e-mail? Sem pressa, quando puderem. Alem disso, como faco para exportar o relatório mensal em PDF? Onde fica essa opcao?"
489,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve."
490,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. É só uma dúvida, pode responder com calma."
491,Alterar forma de pagamento,Quero trocar o cartao de credito cadastrado para o pagamento.
492,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? É importante, preciso resolver rápido."
493,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Sem pressa, quando puderem."
494,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Não consigo trabalhar, preciso de solução imediata."
495,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. Aguardo com prioridade, por favor."
496,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. Estou bloqueado por causa disso."
497,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Aguardo com prioridade, por favor."
498,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Estou bloqueado por causa disso. Além disso, poderia adicionar um relatório de produtividade por equipe?"
499,,"GOSTARIA QUE TIVESSE A OPÇÃO DE EXPORTAR EM EXCEL ALÉM DE PDF. É IMPORTANTE, PRECISO RESOLVER RÁPIDO."
500,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. É importante, preciso resolver rápido."
501,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? Está tudo parado em produção, urgente!"
502,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. Sem pressa, quando puderem."
503,,PRECISO ATUALIZAR O ENDEREÇO E O TELEFONE DA MINHA CONTA. ESTOU BLOQUEADO POR CAUSA DISSO.
504,Botão quebrado,"O botão de exportar não funciona, nada acontece a oclicar."
505,,"SÓ QUERIA DEIXAR UM ELOGIO, O PRODUTO TEM ME AJUDADO BASTANTE."
506,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. Apenas uma sugestão, sem urgência."
507,App trava ao abrir,O aplicativo trava e fehca sozinho toda vez que tento abrir.
508,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso."
509,Botão quebrado,"O botao de exportar nao funciona, nada acontece ao clicar. É só uma dúvida, pode responder com calma."
510,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. É importante, preciso resolver rápido."
511,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
512,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
513,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
514,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. É só uma dúvida, pode responder com calma."
515,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. É só uma dúvida, pode responder com calma."
516,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Está tudo parado em produção, urgente!"
517,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. Crítico, resolvam o quanto antes!"
518,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
519,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Aguardo com prioridade, por favor."
520,Cancelar assinatura e reembolso,"Quero cacnelar e receber o reembolso proporcional da assinatura. É só uma dúvida, pode responder com calma. Além disso, o sistema está horrível de lento, muito decepcionado."
521,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. É importante, preciso resolver rápido."
522,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Está tuod parado em produção, urgente!"
523,,"PRECISO ATUALIZAR O ENDEREÇO E O TELEFONE DA MINHA CONTA. APENAS UMA SUGESTÃO, SEM URGÊNCIA."
524,Informação sobre evento,Vocês vão participar de algum evento este ano?
525,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Está tudo parado em produção, urgente!"
526,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Sem pressa, quando puderem."
527,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
528,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Apenas uma sugestão, sem urgência."
529,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? É só uma dúvida, pode responder com calma."
530,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
531,,"TEM COMO FILTRAR SO REGISTROS POR DATA? ONDE ENCONTRO ISSO? É SÓ UMA DÚVIDA, PODE RESPONDER COM CALMA."
532,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo? Está tudo parado em produção, urgente!"
533,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito."
534,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Não consigo trabalhar, preciso de solução imediata. Além disso, quero cancelar e receber o reembolso proporcional da assinatura."
535,,Onde configuro para receber notificações por e-mail?
536,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado."
537,,"O BOLETO DA ASSINATURA NÃO CHEGOU, PRECISO PAGAR O PAGAMENTO. É SÓ UMA DÚVIDA, PODE RESPONDER COM CALMA."
538,Como exportar relatório,Como faço para exportar o relatório mensal em PDF? Onde fica essa opção?
539,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
540,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso.
541,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Sem pressa, quando puderem. Além disso, preciso transferir a titularidade da conta para outra pessoa."
542,Contato do comercial,"Poderiam me passar o contato da equipe comercial? Sem pressa, quando puderem."
543,Dúvida sobre plano,Qual a diferenca entre os planos? Posso trocar quando quiser? Esotu bloqueado por causa disso.
